"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 19:46:34 GMT 2024","Mon Apr 08 19:46:35 GMT 2024","799","","Validate Landing Page","","","","Validate home page",""
"passed","Mon Apr 08 19:46:23 GMT 2024","Mon Apr 08 19:46:28 GMT 2024","5863","","Validate Landing Page","","","","Validate Contact Us",""
